id,games_year,name_from_roster,sport_from_roster
1806097,2026,Josie Johnson,Ski Jumping
138357,2026,Kevin Bickner,Ski Jumping
140024,2026,Paige Jones,Ski Jumping
157308,2026,Tate Frantz,Ski Jumping
157248,2026,Anna Gibson,Ski Mountaineering
157311,2026,Cam Smith,Ski Mountaineering
1805512,2026,Alessandro Barbieri,Snowboarding
157242,2026,Bea Kim,Snowboarding
1806837,2026,Bri Schnorrbusch,Snowboarding
157305,2026,Chase Blackwell,Snowboarding
138372,2026,Chase Josey,Snowboarding
138361,2026,Chloe Kim,Snowboarding
149156,2026,Cody Winters,Snowboarding
119570,2026,Faye Thelen,Snowboarding
157243,2026,Hahna Norman,Snowboarding
1806639,2026,Hanna Percy,Snowboarding
157245,2026,Iris Pflum,Snowboarding
157306,2026,Jake Canter,Snowboarding
138376,2026,Jake Pates,Snowboarding
2302065,2026,Jake Vedder,Snowboarding
157244,2026,Jess Perlmutter,Snowboarding
157241,2026,Lily Dhawornvej,Snowboarding
138365,2026,Maddie Mastro,Snowboarding
157246,2026,Maddy Schaffrick,Snowboarding
157307,2026,Nathan Pare,Snowboarding
119606,2026,Nick Baumgartner,Snowboarding
1806403,2026,Oliver Martin,Snowboarding
138371,2026,Red Gerard,Snowboarding
149154,2026,Sean FitzSimons,Snowboarding
149151,2026,Stacy Gaskill,Snowboarding
128778,2026,Brittany Bowe,Speed Skating
149164,2026,Casey Dawson,Speed Skating
157312,2026,Conor McDermott-Mostowy,Speed Skating
157313,2026,Cooper McLeod,Speed Skating
128783,2026,Emery Lehman,Speed Skating
138378,2026,Erin Jackson,Speed Skating
149163,2026,Ethan Cepuran,Speed Skating
149161,2026,Giorgia Birkeland,Speed Skating
157249,2026,Greta Myers,Speed Skating
140168,2026,Jordan Stolz,Speed Skating
138379,2026,Mia Manganello,Speed Skating
2301021,2026,Sarah Warren,Speed Skating
157314,2026,Zach Stoppelmoor,Speed Skating
