sport,event,athlete_id,athlete,position,medal,is_team_entry,games_year,position_num
Cross Country Skiing,"Skiathlon, Women",149081,Novie McCabe,26,,no,2026,26.0
Cross Country Skiing,"Skiathlon, Women",138267,Rosie Brennan,37,,no,2026,37.0
Figure Skating,"Singles, Men",157277,Ilia Malinin,8,,no,2026,8.0
Figure Skating,"Singles, Men",157281,Andrew Torgashev,12,,no,2026,12.0
Figure Skating,"Singles, Men",157278,Maxim Naumov,20,,no,2026,20.0
Figure Skating,"Singles, Women",149110,Alysa Liu,1,Gold,no,2026,1.0
Figure Skating,"Singles, Women",157223,Amber Glenn,5,,no,2026,5.0
Figure Skating,"Singles, Women",157225,Isabeau Levito,12,,no,2026,12.0
Freestyle Skiing,"Moguls, Men",149102,Nick Page,7,,no,2026,7.0
Freestyle Skiing,"Moguls, Men",157271,Charlie Mickel,12,,no,2026,12.0
Freestyle Skiing,"Moguls, Men",149105,Dylan Walczyk,13,,no,2026,13.0
Freestyle Skiing,"Moguls, Men",157274,Landon Wendler,17,,no,2026,17.0
Freestyle Skiing,"Aerials, Men",149100,Chris Lillis,8,,no,2026,8.0
Freestyle Skiing,"Aerials, Men",157270,Derek Krueger,11,,no,2026,11.0
Freestyle Skiing,"Aerials, Men",157267,Connor Curran,12,,no,2026,12.0
Freestyle Skiing,"Aerials, Men",157268,Quinn Dehlinger,DNS,,no,2026,
Freestyle Skiing,"Halfpipe, Men",138294,Alex Ferreira,1,Gold,no,2026,1.0
Freestyle Skiing,"Halfpipe, Men",128711,Nick Goepper,4,,no,2026,4.0
Freestyle Skiing,"Halfpipe, Men",2302026,Birk Irving,5,,no,2026,5.0
Freestyle Skiing,"Halfpipe, Men",157269,Hunter Hess,10,,no,2026,10.0
Freestyle Skiing,"Slopestyle, Men",138295,Alex Hall,2,Silver,no,2026,2.0
Freestyle Skiing,"Dual Moguls, Men",157271,Charlie Mickel,6,,no,2026,6.0
