id,name,born,birthplace,url
157239,Chevonne Forgan,30 June 2000,"Adelaide, South Australia (AUS)",https://www.olympedia.org/athletes/157239
157240,Sophia Kirkby,14 June 2001,"Ray Brook, New York (USA)",https://www.olympedia.org/athletes/157240
138353,Ben Loomis,9 June 1998,"Eau Claire, Wisconsin (USA)",https://www.olympedia.org/athletes/138353
139843,Niklas Malacinski,7 December 2003,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/139843
149170,Andrew Heo,7 March 2001,"Warrington, Bucks County, Pennsylvania (USA)",https://www.olympedia.org/athletes/149170
157316,Brandon Kim,30 August 2001,"Fairfax, Virginia (USA)",https://www.olympedia.org/athletes/157316
157315,Clayton DeClemente,16 September 1999,,https://www.olympedia.org/athletes/157315
149168,Kristen Santos-Griswold,2 November 1994,"Fairfield, Connecticut (USA)",https://www.olympedia.org/athletes/149168
149167,Julie Letai,23 June 2000,"Medfield, Massachusetts (USA)",https://www.olympedia.org/athletes/149167
149169,Corie Stoddard,15 August 2001,"Seattle, Washington (USA)",https://www.olympedia.org/athletes/149169
157250,Kamryn Lute,28 August 2004,"New York, New York (USA)",https://www.olympedia.org/athletes/157250
149166,Eunice Lee,11 November 2004,"San Diego, California (USA)",https://www.olympedia.org/athletes/149166
157310,Austin Florian,12 September 1994,"Southington, Connecticut (USA)",https://www.olympedia.org/athletes/157310
157309,Dan Barefoot,4 June 1990,"Geistown, Pennsylvania (USA)",https://www.olympedia.org/athletes/157309
149159,Kelly Curtis,25 January 1989,"Princeton, New Jersey (USA)",https://www.olympedia.org/athletes/149159
157247,Mystique Ro,18 July 1994,"Oceanside, California (USA)",https://www.olympedia.org/athletes/157247
1805696,Jason Colby,30 March 2006,,https://www.olympedia.org/athletes/1805696
157308,Tate Frantz,28 March 2005,"Lake Placid, New York (USA)",https://www.olympedia.org/athletes/157308
138357,Kevin Bickner,23 September 1996,"Lake Forest, Illinois (USA)",https://www.olympedia.org/athletes/138357
