id,name,games_year,birth_date,birth_year,birth_month,birth_quarter,age_at_games,birthplace,sports,events_entered,medal_count,any_medal,any_gold,any_silver,any_bronze,best_position,has_individual_results
149092,Marin Hamill,2022,2001-04-05,2001,4,2,20.84,"Salt Lake City, Utah (USA)",Freestyle Skiing,2,0,False,False,False,False,12.0,True
138283,Matt Hamilton,2022,1989-02-19,1989,2,1,32.96,"Madison, Wisconsin (USA)",Curling,0,0,False,False,False,False,,False
149134,Matt Knies,2022,2002-10-17,2002,10,4,19.3,"Phoenix, Arizona (USA)",Ice Hockey,0,0,False,False,False,False,,False
149124,Matty Beniers,2022,2002-11-05,2002,11,4,19.25,"Hingham, Massachusetts (USA)",Ice Hockey,0,0,False,False,False,False,,False
128728,Megan Bozek,2022,1991-03-27,1991,3,1,30.86,"Arlington Heights, Illinois (USA)",Ice Hockey,0,0,False,False,False,False,,False
138315,Megan Keller,2022,1996-05-01,1996,5,2,25.76,"Farmington, Michigan (USA)",Ice Hockey,0,0,False,False,False,False,,False
149095,Megan Nick,2022,1996-07-09,1996,7,3,25.57,"Shelburne, Vermont (USA)",Freestyle Skiing,1,1,True,False,False,True,3.0,True
138366,Meghan Tierney,2022,1997-01-15,1997,1,1,25.05,"Long Branch, New Jersey (USA)",Snowboarding,1,0,False,False,False,False,,True
138379,Mia Kilburg,2022,1989-10-27,1989,10,4,32.27,"Fort Walton Beach, Florida (USA)",Speed Skating,3,0,False,False,False,False,4.0,True
138369,Mick Dierdorff,2022,1991-04-30,1991,4,2,30.77,"Bellevue, Washington (USA)",Snowboarding,1,0,False,False,False,False,,True
128669,Mikaela Shiffrin,2022,1995-03-13,1995,3,1,26.9,"Vail, Colorado (USA)",Alpine Skiing,5,0,False,False,False,False,9.0,True
138305,Nathan Chen,2022,1999-05-05,1999,5,2,22.75,"Salt Lake City, Utah (USA)",Figure Skating,1,1,True,True,False,False,1.0,True
149144,Nathan Smith,2022,1998-10-19,1998,10,4,23.3,"Tampa, Florida (USA)",Ice Hockey,0,0,False,False,False,False,,False
149122,Nick Abruzzese,2022,1999-06-04,1999,6,2,22.67,"Slate Hill, New York (USA)",Ice Hockey,0,0,False,False,False,False,,False
119606,Nick Baumgartner,2022,1981-12-17,1981,12,4,40.13,"Iron River, Michigan (USA)",Snowboarding,1,0,False,False,False,False,,True
128711,Nick Goepper,2022,1994-03-14,1994,3,1,27.9,"Fort Wayne, Indiana (USA)",Freestyle Skiing,2,1,True,False,True,False,2.0,True
149102,Nick Page,2022,2002-08-01,2002,8,3,19.51,"Hollywood, Florida (USA)",Freestyle Skiing,1,0,False,False,False,False,5.0,True
149141,Nick Perbix,2022,1998-06-15,1998,6,2,23.64,"Elk River, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
